Date,JOHOR,KEDAH,KELANTAN,MELAKA,NEGERI SEMBILAN,PAHANG,PENANG,PERAK,PERLIS,SABAH,SARAWAK,SE,TERENGGANU,KUALA LUMPUR,PT,LABUAN
25-Jan,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
28-Jan,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
30-Jan,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3-Feb,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
5-Feb,0,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0
6-Feb,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7-Feb,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
8-Feb,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
9-Feb,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
13-Feb,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
14-Feb,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15-Feb,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
27-Feb,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
28-Feb,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
1-Mar,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0
3-Mar,0,0,0,0,0,0,0,0,0,0,0,5,0,2,0,0
4/3-12/3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
13-Mar,16,1,3,1,9,2,7,2,1,15,0,70,0,31,1,2
14-Mar,2,0,0,5,8,0,0,0,1,11,6,5,0,3,0,0
15-Mar,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
16-Mar,30,26,15,8,23,17,8,16,6,31,15,52,4,63,-1,2
17-Mar,25,0,7,3,3,9,8,5,0,25,8,17,3,7,0,0
18-Mar,11,5,5,1,0,1,7,5,0,21,20,31,3,6,0,1
