Date,JOHOR,KEDAH,KELANTAN,MELAKA,NEGERI SEMBILAN,PAHANG,PENANG,PERAK,PERLIS,SABAH,SARAWAK,SE,TERENGGANU,KUALA LUMPUR,PT,LABUAN
25-Jan,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
28-Jan,2,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0
30-Jan,3,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0
3-Feb,3,1,0,0,0,0,0,0,0,0,0,5,0,1,0,0
5-Feb,3,2,0,0,2,0,0,0,0,0,0,5,0,2,0,0
6-Feb,4,2,0,0,2,0,0,0,0,0,0,5,0,2,0,0
7-Feb,4,2,0,0,2,0,0,0,0,0,0,5,0,3,0,0
8-Feb,4,2,0,0,2,0,0,0,0,0,0,6,0,3,0,0
9-Feb,4,2,0,0,2,0,0,0,0,0,0,7,0,3,0,0
13-Feb,4,2,0,0,2,0,0,0,0,0,0,7,0,4,0,0
14-Feb,4,4,0,0,2,0,0,0,0,0,0,7,0,4,0,0
15-Feb,4,4,0,0,2,0,0,0,0,0,0,8,0,4,0,0
27-Feb,4,4,0,0,2,0,0,0,0,0,0,8,0,5,0,0
28-Feb,4,4,0,0,2,0,0,0,0,0,0,9,0,6,0,0
1-Mar,4,4,0,0,2,0,0,0,0,0,0,12,0,7,0,0
3-Mar,4,4,0,0,2,0,0,0,0,0,0,17,0,9,0,0
4-Mar,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
5-Mar,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
6-Mar,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
7-Mar,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
8-Mar,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
9-Mar,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
